rene@rene-VirtualBox:~/Development/os-report-modules$ less /var/log/syslog | grep 'HIGHMEM'
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579002] [HIGHMEM]: array[237] = [237]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579002] [HIGHMEM]: array[238] = [238]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579002] [HIGHMEM]: array[239] = [239]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579003] [HIGHMEM]: array[240] = [240]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579003] [HIGHMEM]: array[241] = [241]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579003] [HIGHMEM]: array[242] = [242]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579003] [HIGHMEM]: array[243] = [243]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579004] [HIGHMEM]: array[244] = [244]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579004] [HIGHMEM]: array[245] = [245]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579004] [HIGHMEM]: array[246] = [246]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579005] [HIGHMEM]: array[247] = [247]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579005] [HIGHMEM]: array[248] = [248]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579005] [HIGHMEM]: array[249] = [249]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579006] [HIGHMEM]: array[250] = [250]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579006] [HIGHMEM]: array[251] = [251]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579006] [HIGHMEM]: array[252] = [252]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579007] [HIGHMEM]: array[253] = [253]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579007] [HIGHMEM]: array[254] = [254]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579007] [HIGHMEM]: array[255] = [255]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579008] [HIGHMEM]: array[256] = [256]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.579008] [HIGHMEM]: array[257] = [257]
