rene@rene-VirtualBox:~/Development/os-report-modules$ less /var/log/syslog | grep 'LOWLEVEL'
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069061] [LOWLEVEL]: array[168] = [168]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069061] [LOWLEVEL]: array[169] = [169]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069061] [LOWLEVEL]: array[170] = [170]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069062] [LOWLEVEL]: array[171] = [171]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069062] [LOWLEVEL]: array[172] = [172]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069062] [LOWLEVEL]: array[173] = [173]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069063] [LOWLEVEL]: array[174] = [174]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069063] [LOWLEVEL]: array[175] = [175]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069063] [LOWLEVEL]: array[176] = [176]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069064] [LOWLEVEL]: array[177] = [177]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069064] [LOWLEVEL]: array[178] = [178]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069064] [LOWLEVEL]: array[179] = [179]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069065] [LOWLEVEL]: array[180] = [180]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069065] [LOWLEVEL]: array[181] = [181]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069065] [LOWLEVEL]: array[182] = [182]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069066] [LOWLEVEL]: array[183] = [183]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069066] [LOWLEVEL]: array[184] = [184]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069066] [LOWLEVEL]: array[185] = [185]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069067] [LOWLEVEL]: array[186] = [186]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069067] [LOWLEVEL]: array[187] = [187]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069067] [LOWLEVEL]: array[188] = [188]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069068] [LOWLEVEL]: array[189] = [189]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069068] [LOWLEVEL]: array[190] = [190]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069068] [LOWLEVEL]: array[191] = [191]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069068] [LOWLEVEL]: array[192] = [192]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069069] [LOWLEVEL]: array[193] = [193]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069069] [LOWLEVEL]: array[194] = [194]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069069] [LOWLEVEL]: array[195] = [195]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069070] [LOWLEVEL]: array[196] = [196]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069070] [LOWLEVEL]: array[197] = [197]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069070] [LOWLEVEL]: array[198] = [198]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069071] [LOWLEVEL]: array[199] = [199]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069071] [LOWLEVEL]: array[200] = [200]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069071] [LOWLEVEL]: array[201] = [201]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069072] [LOWLEVEL]: array[202] = [202]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069072] [LOWLEVEL]: array[203] = [203]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069072] [LOWLEVEL]: array[204] = [204]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069073] [LOWLEVEL]: array[205] = [205]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069073] [LOWLEVEL]: array[206] = [206]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069073] [LOWLEVEL]: array[207] = [207]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069074] [LOWLEVEL]: array[208] = [208]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069074] [LOWLEVEL]: array[209] = [209]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069074] [LOWLEVEL]: array[210] = [210]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069075] [LOWLEVEL]: array[211] = [211]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069075] [LOWLEVEL]: array[212] = [212]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069075] [LOWLEVEL]: array[213] = [213]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069076] [LOWLEVEL]: array[214] = [214]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069076] [LOWLEVEL]: array[215] = [215]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069076] [LOWLEVEL]: array[216] = [216]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069077] [LOWLEVEL]: array[217] = [217]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069077] [LOWLEVEL]: array[218] = [218]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069077] [LOWLEVEL]: array[219] = [219]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069078] [LOWLEVEL]: array[220] = [220]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069078] [LOWLEVEL]: array[221] = [221]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069078] [LOWLEVEL]: array[222] = [222]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069079] [LOWLEVEL]: array[223] = [223]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069079] [LOWLEVEL]: array[224] = [224]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069079] [LOWLEVEL]: array[225] = [225]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069080] [LOWLEVEL]: array[226] = [226]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069080] [LOWLEVEL]: array[227] = [227]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069080] [LOWLEVEL]: array[228] = [228]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069081] [LOWLEVEL]: array[229] = [229]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069081] [LOWLEVEL]: array[230] = [230]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069081] [LOWLEVEL]: array[231] = [231]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069082] [LOWLEVEL]: array[232] = [232]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069082] [LOWLEVEL]: array[233] = [233]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069082] [LOWLEVEL]: array[234] = [234]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069082] [LOWLEVEL]: array[235] = [235]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069083] [LOWLEVEL]: array[236] = [236]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069083] [LOWLEVEL]: array[237] = [237]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069083] [LOWLEVEL]: array[238] = [238]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069084] [LOWLEVEL]: array[239] = [239]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069084] [LOWLEVEL]: array[240] = [240]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069084] [LOWLEVEL]: array[241] = [241]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069085] [LOWLEVEL]: array[242] = [242]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069085] [LOWLEVEL]: array[243] = [243]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069085] [LOWLEVEL]: array[244] = [244]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069086] [LOWLEVEL]: array[245] = [245]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069086] [LOWLEVEL]: array[246] = [246]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069086] [LOWLEVEL]: array[247] = [247]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069087] [LOWLEVEL]: array[248] = [248]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069087] [LOWLEVEL]: array[249] = [249]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069087] [LOWLEVEL]: array[250] = [250]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069088] [LOWLEVEL]: array[251] = [251]
Nov 10 11:29:39 rene-VirtualBox kernel: [ 2992.069088] [LOWLEVEL]: array[252] = [252]
